"UANUM","UANAME","4 Week Rate"
37,"Abbeville, LA",16190.0
64,"Abbeville, SC",2625.0
91,"Abbotsford, WI",1852.1428571429
199,"Aberdeen--Bel Air South--Bel Air North, MD",122361.3125
118,"Aberdeen, MS",4601.5
145,"Aberdeen, SD",3082.5
172,"Aberdeen, WA",3850.0
226,"Abernathy, TX",8853.0
253,"Abilene, KS",1126.0
280,"Abilene, TX",3325.0
334,"Abingdon, IL",525.0
388,"Ada, OH",1625.0
415,"Ada, OK",1460.0
450,"Adams, NY",500.0
469,"Adel, GA",7500.0
496,"Adel, IA",36386.5625
550,"Adjuntas, PR",3000.0
577,"Adrian, MI",2550.0
631,"Aguadilla--Isabela--San Sebasti�n, PR",4200.0
658,"Ahoskie, NC",3112.5
676,"Air Force Academy, CO",12263.125
712,"Ajo, AZ",123595.375
739,"Akron, NY",2983.3333333333003
766,"Akron, OH",3391.5
793,"Alachua, FL",11296.0625
820,"Alamogordo, NM",3333.3333333333003
847,"Alamosa, CO",1550.0
970,"Albany--Schenectady, NY",28526.0
901,"Albany, GA",7500.0
921,"Albany, MN",4690.0
955,"Albany, OR",2100.0
982,"Albemarle, NC",1350.0
1009,"Albert Lea, MN",1388.3333333332998
1036,"Albertville, AL",1600.0
1063,"Albia, IA",3322.7272727273
1090,"Albion, MI",2466.6666666667
1117,"Albion, NY",2983.3333333333003
1144,"Albion, PA",6683.333333333299
1171,"Albuquerque, NM",14180.0
1198,"Alderson, WV",4766.6666666667
1225,"Aledo, IL",33565.3333333333
1232,"Aledo, TX",3150.0
1252,"Alexander City, AL",7073.333333333299
1279,"Alexandria, LA",6758.9473684211
1306,"Alexandria, MN",1459.0
1333,"Alfred, NY",2983.3333333333003
1360,"Algoma, WI",675.0
1387,"Algona, IA",500.0
1414,"Alice, TX",10394.4285714286
1441,"Allegan, MI",3020.0
1468,"Allendale, SC",65191.6666666667
1495,"Allentown, PA--NJ",3360.0
1522,"Alliance, NE",3375.0
1549,"Alliance, OH",3391.5
1630,"Alma--St. Louis, MI",2040.0
1603,"Alma, GA",1875.0
1657,"Almont, MI",52958.3333333333
1684,"Alpena, MI",3880.0
1711,"Alpine, TX",1733.3333333332998
1738,"Altavista, VA",2500.0
1765,"Alton, IL--MO",6300.0
1792,"Altoona, PA",12340.416666666699
1819,"Alturas, CA",3151.0
1846,"Altus, OK",600.0
1873,"Alva, OK",600.0
1900,"Alvarado, TX",3150.0
1927,"Amarillo, TX",1050.0
1981,"American Falls, ID",2660.0
2008,"Americus, GA",4840.0
2035,"Amery, WI",1702.8571428572
2062,"Ames, IA",500.0
2116,"Amite City, LA",2185.6666666667
2143,"Amory, MS",7556.25
2170,"Amsterdam, NY",28526.0
2197,"Anaconda-Deer Lodge County, MT",913.0
2224,"Anacortes, WA",2750.0
2251,"Anadarko, OK",27552.3076923077
2278,"Anamosa, IA",9709.3333333333
2332,"Anchorage Northeast, AK",3850.0
2305,"Anchorage, AK",3850.0
2359,"Andalusia, AL",1347.7142857142999
2386,"Anderson, IN",633.3333333333001
2413,"Anderson, SC",1800.0
2440,"Andrews, SC",966.6666666666999
2467,"Andrews, TX",2800.0
2494,"Angels, CA",10606.25
2548,"Angola, IN",1500.0
2602,"Ann Arbor, MI",4500.0
2575,"Anna, IL",3060.0
2581,"Anna, TX",78975.0
2590,"Annandale, MN",4690.0
2629,"Anniston--Oxford, AL",4691.4545454546005
2656,"Antigo, WI",5584.6428571429005
2683,"Antioch, CA",72659.7083333333
2710,"Apalachicola, FL",9471.6428571429
2773,"Apple Valley, OH",15860.0
2764,"Appleton, WI",4956.25
2791,"Arab, AL",1600.0
2825,"Arbuckle, CA",3712.3333333333003
2845,"Arcade, NY",2983.3333333333003
2912,"Arcadia--Southeast Arcadia, FL",1933.3333333332998
2899,"Arcadia, LA",1828.0
2901,"Arcadia, WI",18778.4615384615
2926,"Arcata-McKinleyville, CA",3151.0
2953,"Archbold, OH",2550.0
2965,"Archer Lodge--Clayton, NC",2908.5
2980,"Arcola, IL",2270.0
3007,"Ardmore, OK",1460.0
3034,"Arecibo, PR",5600.0
3088,"Arizona City, AZ",123595.375
3115,"Arkadelphia, AR",1633.3333333332998
3142,"Arkansas City, KS",9540.0
3158,"Arlington, TN",24436.5416666667
3196,"Arroyo Grande--Grover Beach, CA",6351.75
3223,"Artesia, NM",1733.3333333332998
3250,"Arvin, CA",38568.6923076923
3277,"Ashburn, GA",1875.0
3304,"Ashdown, AR",953.3333333333001
3331,"Asheboro, NC",11800.0
3358,"Asheville, NC",9511.1111111111
3439,"Ashland City, TN",34474.0
3365,"Ashland, MO",7360.0
3375,"Ashland, NE",1482.75
3385,"Ashland, OH",2373.0
3395,"Ashland, PA",2904.0
